serial-no,timestamp,x,y,z
000000007ffe62c2,8/9/18 6:25,-41,220,-156
000000007ffe62c2,8/9/18 6:25,-36,221,-160
000000007ffe62c2,8/9/18 6:25,-31,215,-157
000000007ffe62c2,8/9/18 6:25,-33,221,-158
000000007ffe62c2,8/9/18 6:25,-32,213,-157
000000007ffe62c2,8/9/18 6:25,-33,220,-157
000000007ffe62c2,8/9/18 6:25,-30,218,-159
000000007ffe62c2,8/9/18 6:25,-33,218,-164
000000007ffe62c2,8/9/18 6:25,-33,222,-154
000000007ffe62c2,8/9/18 6:25,-35,214,-160
000000007ffe62c2,8/9/18 6:25,-38,215,-158
000000007ffe62c2,8/9/18 6:25,-33,220,-163
000000007ffe62c2,8/9/18 6:25,-33,220,-159
000000007ffe62c2,8/9/18 6:25,-37,218,-154
000000007ffe62c2,8/9/18 6:25,-35,215,-155
000000007ffe62c2,8/9/18 6:25,-35,216,-155
000000007ffe62c2,8/9/18 6:25,-33,215,-161
000000007ffe62c2,8/9/18 6:25,-38,217,-155
000000007ffe62c2,8/9/18 6:25,-34,220,-156
000000007ffe62c2,8/9/18 6:25,-36,221,-163
000000007ffe62c2,8/9/18 6:25,-46,219,-153
000000007ffe62c2,8/9/18 6:25,-37,223,-159
000000007ffe62c2,8/9/18 6:25,-32,221,-152
000000007ffe62c2,8/9/18 6:25,-32,221,-153
000000007ffe62c2,8/9/18 6:26,-37,217,-154
000000007ffe62c2,8/9/18 6:26,-33,219,-155
000000007ffe62c2,8/9/18 6:26,-33,219,-157
000000007ffe62c2,8/9/18 6:26,-34,224,-156
000000007ffe62c2,8/9/18 6:26,-36,219,-160
000000007ffe62c2,8/9/18 6:26,-35,219,-157
000000007ffe62c2,8/9/18 6:26,-32,219,-161
000000007ffe62c2,8/9/18 6:26,-34,228,-176
000000007ffe62c2,8/9/18 6:26,-37,225,-156
000000007ffe62c2,8/9/18 6:26,-33,211,-161
000000007ffe62c2,8/9/18 6:26,-31,225,-153
000000007ffe62c2,8/9/18 6:26,-37,222,-155
000000007ffe62c2,8/9/18 6:26,-38,221,-154
000000007ffe62c2,8/9/18 6:26,-34,220,-156
000000007ffe62c2,8/9/18 6:26,-30,220,-158
000000007ffe62c2,8/9/18 6:26,-43,215,-162
000000007ffe62c2,8/9/18 6:26,-40,207,-156
000000007ffe62c2,8/9/18 6:26,-33,219,-162
000000007ffe62c2,8/9/18 6:26,-36,222,-158
000000007ffe62c2,8/9/18 6:26,-36,219,-159
000000007ffe62c2,8/9/18 6:26,-33,223,-152
000000007ffe62c2,8/9/18 6:26,-33,220,-156
