
serial-no	timestamp	x	y	z
000000007ffe62c2	2018-08-09 06:25:53	-41	220	-156
000000007ffe62c2	2018-08-09 06:25:53	-36	221	-160
000000007ffe62c2	2018-08-09 06:25:54	-31	215	-157
000000007ffe62c2	2018-08-09 06:25:54	-33	221	-158
000000007ffe62c2	2018-08-09 06:25:54	-32	213	-157
000000007ffe62c2	2018-08-09 06:25:54	-33	220	-157
000000007ffe62c2	2018-08-09 06:25:54	-30	218	-159
000000007ffe62c2	2018-08-09 06:25:55	-33	218	-164
000000007ffe62c2	2018-08-09 06:25:55	-33	222	-154
000000007ffe62c2	2018-08-09 06:25:55	-35	214	-160
000000007ffe62c2	2018-08-09 06:25:55	-38	215	-158
000000007ffe62c2	2018-08-09 06:25:56	-33	220	-163
000000007ffe62c2	2018-08-09 06:25:56	-33	220	-159
000000007ffe62c2	2018-08-09 06:25:56	-37	218	-154
000000007ffe62c2	2018-08-09 06:25:57	-35	215	-155
000000007ffe62c2	2018-08-09 06:25:57	-35	216	-155
000000007ffe62c2	2018-08-09 06:25:57	-33	215	-161
000000007ffe62c2	2018-08-09 06:25:57	-38	217	-155
000000007ffe62c2	2018-08-09 06:25:58	-34	220	-156
000000007ffe62c2	2018-08-09 06:25:58	-36	221	-163
000000007ffe62c2	2018-08-09 06:25:59	-46	219	-153
000000007ffe62c2	2018-08-09 06:25:59	-37	223	-159
000000007ffe62c2	2018-08-09 06:25:59	-32	221	-152
000000007ffe62c2	2018-08-09 06:25:59	-32	221	-153
000000007ffe62c2	2018-08-09 06:26:00	-37	217	-154
000000007ffe62c2	2018-08-09 06:26:00	-33	219	-155
000000007ffe62c2	2018-08-09 06:26:00	-33	219	-157
000000007ffe62c2	2018-08-09 06:26:00	-34	224	-156
000000007ffe62c2	2018-08-09 06:26:01	-36	219	-160
000000007ffe62c2	2018-08-09 06:26:01	-35	219	-157
000000007ffe62c2	2018-08-09 06:26:01	-32	219	-161
000000007ffe62c2	2018-08-09 06:26:01	-34	228	-176
000000007ffe62c2	2018-08-09 06:26:02	-37	225	-156
000000007ffe62c2	2018-08-09 06:26:02	-33	211	-161
000000007ffe62c2	2018-08-09 06:26:02	-31	225	-153
000000007ffe62c2	2018-08-09 06:26:02	-37	222	-155
000000007ffe62c2	2018-08-09 06:26:03	-38	221	-154
000000007ffe62c2	2018-08-09 06:26:03	-34	220	-156
000000007ffe62c2	2018-08-09 06:26:03	-30	220	-158
000000007ffe62c2	2018-08-09 06:26:03	-43	215	-162
000000007ffe62c2	2018-08-09 06:26:04	-40	207	-156
000000007ffe62c2	2018-08-09 06:26:04	-33	219	-162
000000007ffe62c2	2018-08-09 06:26:04	-36	222	-158
000000007ffe62c2	2018-08-09 06:26:04	-36	219	-159
000000007ffe62c2	2018-08-09 06:26:05	-33	223	-152
000000007ffe62c2	2018-08-09 06:26:05	-33	220	-156
000000007ffe62c2	2018-08-09 06:26:05	-35	219	-158
000000007ffe62c2	2018-08-09 06:26:05	-31	222	-152
000000007ffe62c2	2018-08-09 06:26:06	-35	220	-156
000000007ffe62c2	2018-08-09 06:26:06	-34	223	-152
000000007ffe62c2	2018-08-09 06:26:06	-37	216	-159
000000007ffe62c2	2018-08-09 06:26:06	-34	220	-158
000000007ffe62c2	2018-08-09 06:26:07	-30	222	-159
000000007ffe62c2	2018-08-09 06:26:07	-35	217	-156
000000007ffe62c2	2018-08-09 06:26:07	-34	222	-154
000000007ffe62c2	2018-08-09 06:26:07	-32	222	-155
000000007ffe62c2	2018-08-09 06:26:08	-36	221	-158
000000007ffe62c2	2018-08-09 06:26:08	-33	217	-157
000000007ffe62c2	2018-08-09 06:26:08	-34	223	-158
000000007ffe62c2	2018-08-09 06:26:08	-36	217	-158
000000007ffe62c2	2018-08-09 06:26:09	-33	219	-153
000000007ffe62c2	2018-08-09 06:26:09	-34	215	-157
000000007ffe62c2	2018-08-09 06:26:09	-33	219	-155
000000007ffe62c2	2018-08-09 06:26:09	-35	218	-155
000000007ffe62c2	2018-08-09 06:26:10	-31	219	-155
000000007ffe62c2	2018-08-09 06:26:10	-34	217	-159
000000007ffe62c2	2018-08-09 06:26:11	-33	219	-158
000000007ffe62c2	2018-08-09 06:26:11	-31	220	-156
000000007ffe62c2	2018-08-09 06:26:11	-28	220	-152
000000007ffe62c2	2018-08-09 06:26:11	-34	218	-156
000000007ffe62c2	2018-08-09 06:26:12	-31	222	-157
000000007ffe62c2	2018-08-09 06:26:12	-37	223	-156
000000007ffe62c2	2018-08-09 06:26:12	-32	219	-156
000000007ffe62c2	2018-08-09 06:26:12	-33	214	-157
000000007ffe62c2	2018-08-09 06:26:13	-30	218	-160
000000007ffe62c2	2018-08-09 06:26:13	-31	223	-157
000000007ffe62c2	2018-08-09 06:26:13	-33	221	-153
000000007ffe62c2	2018-08-09 06:26:14	-33	220	-155
000000007ffe62c2	2018-08-09 06:26:14	-31	225	-158
000000007ffe62c2	2018-08-09 06:26:14	-36	216	-155
000000007ffe62c2	2018-08-09 06:26:14	-35	216	-157
000000007ffe62c2	2018-08-09 06:26:15	-35	220	-159
000000007ffe62c2	2018-08-09 06:26:15	-33	223	-156
000000007ffe62c2	2018-08-09 06:26:15	-33	219	-155
000000007ffe62c2	2018-08-09 06:26:15	-39	215	-153
000000007ffe62c2	2018-08-09 06:26:16	-34	219	-156
000000007ffe62c2	2018-08-09 06:26:16	-32	222	-156
000000007ffe62c2	2018-08-09 06:26:16	-32	217	-157
000000007ffe62c2	2018-08-09 06:26:16	-36	219	-158
000000007ffe62c2	2018-08-09 06:26:17	-36	219	-155
000000007ffe62c2	2018-08-09 06:26:17	-36	221	-158
000000007ffe62c2	2018-08-09 06:26:17	-31	222	-155
000000007ffe62c2	2018-08-09 06:26:17	-33	220	-157
000000007ffe62c2	2018-08-09 06:26:18	-35	217	-153
000000007ffe62c2	2018-08-09 06:26:18	-41	222	-153
000000007ffe62c2	2018-08-09 06:26:18	-24	219	-154
000000007ffe62c2	2018-08-09 06:26:18	-25	225	-157
000000007ffe62c2	2018-08-09 06:26:19	-24	220	-157
000000007ffe62c2	2018-08-09 06:26:19	-34	219	-156
000000007ffe62c2	2018-08-09 06:26:19	-31	219	-157
000000007ffe62c2	2018-08-09 06:26:21	-37	222	-152
000000007ffe62c2	2018-08-09 06:26:21	-33	218	-161
000000007ffe62c2	2018-08-09 06:26:21	-34	221	-159
000000007ffe62c2	2018-08-09 06:26:21	-52	216	-161
000000007ffe62c2	2018-08-09 06:26:22	-30	201	-148
000000007ffe62c2	2018-08-09 06:26:22	-37	221	-157
